iter	Passed	Remaining
0	140	140196
1	141	70580
2	142	47332
3	143	35622
4	143	28585
5	144	23893
6	144	20542
7	145	18026
8	145	16072
9	146	14510
10	147	13230
11	147	12167
12	148	11262
13	148	10487
14	149	9814
15	150	9227
16	150	8710
17	151	8250
18	151	7839
19	152	7468
20	152	7131
21	153	6825
22	154	6546
23	154	6292
24	155	6061
25	156	5847
26	156	5645
27	157	5458
28	157	5283
29	158	5120
30	158	4968
31	159	4825
32	160	4689
33	160	4562
34	161	4442
35	161	4329
36	162	4223
37	162	4122
38	163	4026
39	163	3935
40	164	3848
41	165	3766
42	165	3687
43	166	3612
44	166	3539
45	167	3470
46	167	3404
47	168	3343
48	169	3290
49	170	3234
50	170	3177
51	171	3123
52	171	3070
53	172	3020
54	172	2971
55	173	2925
56	174	2879
57	174	2836
58	175	2795
59	175	2754
60	176	2716
61	176	2677
62	177	2640
63	178	2605
64	178	2570
65	179	2537
66	179	2504
67	180	2473
68	181	2442
69	181	2412
70	182	2383
71	182	2355
72	183	2330
73	184	2306
74	184	2281
75	185	2255
76	186	2230
77	186	2206
78	187	2182
79	187	2159
80	188	2137
81	188	2115
82	189	2091
83	189	2070
84	190	2050
85	191	2031
86	191	2011
87	192	1992
88	192	1973
89	193	1954
90	193	1936
91	194	1918
92	194	1901
93	195	1886
94	196	1870
95	196	1854
96	197	1839
97	198	1824
98	199	1812
99	199	1797
100	200	1782
101	200	1769
102	201	1756
103	202	1744
104	203	1731
105	203	1717
106	204	1704
107	204	1691
108	205	1678
109	205	1665
110	206	1653
111	206	1640
112	207	1628
113	208	1616
114	208	1606
115	209	1594
116	209	1582
117	210	1571
118	210	1560
119	211	1549
120	212	1540
121	212	1531
122	213	1522
123	214	1512
124	214	1502
125	215	1492
126	215	1482
127	216	1473
128	216	1463
129	217	1454
130	217	1445
131	218	1436
132	218	1427
133	219	1418
134	220	1410
135	220	1401
136	221	1392
137	221	1384
138	222	1376
139	222	1368
140	223	1360
141	223	1351
142	224	1344
143	224	1336
144	225	1328
145	225	1321
146	226	1314
147	227	1309
148	228	1303
149	228	1297
150	229	1290
151	230	1283
152	230	1276
153	231	1269
154	231	1262
155	232	1256
156	232	1250
157	233	1243
158	234	1237
159	234	1231
160	234	1224
161	235	1218
162	236	1213
163	236	1207
164	237	1201
165	237	1195
166	238	1189
167	239	1183
168	239	1178
169	240	1172
170	240	1167
171	241	1162
172	242	1158
173	243	1153
174	243	1148
175	244	1143
176	244	1138
177	245	1132
178	245	1127
179	246	1122
180	247	1117
181	247	1112
182	248	1107
183	248	1102
184	249	1098
185	249	1093
186	250	1088
187	251	1084
188	251	1079
189	252	1075
190	252	1071
191	253	1066
192	254	1062
193	254	1057
194	255	1053
195	255	1048
196	256	1044
197	257	1042
198	258	1039
199	258	1035
200	259	1031
201	260	1027
202	260	1023
203	261	1019
204	261	1014
205	262	1010
206	262	1007
207	263	1003
208	264	1000
209	264	996
210	265	993
211	266	989
212	266	985
213	267	981
214	267	977
215	268	973
216	268	970
217	269	966
218	269	962
219	270	958
220	271	955
221	271	952
222	272	949
223	273	945
224	273	942
225	274	938
226	274	935
227	275	931
228	275	928
229	276	925
230	277	922
231	277	919
232	278	916
233	279	913
234	279	910
235	280	906
236	280	903
237	281	900
238	281	896
239	282	893
240	282	890
241	283	887
242	283	884
243	284	881
244	285	878
245	285	876
246	286	873
247	287	870
248	287	867
249	288	865
250	289	862
251	289	859
252	290	856
253	290	853
254	291	851
255	291	848
